reported_hunt_year,model_target_year,source_file,source_page,source_family,section_title,species,hunt_code,hunt_name,unit_context,permits,quota,hunters_afield,harvest_total,harvest_male,harvest_female,harvest_young,average_days,percent_success,hunter_satisfaction,metric_count,metric_raw,parse_notes,raw_line,source_sha256,source_path,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,metric_7,metric_8,metric_9,metric_10,metric_11,unit,hunt_type,bull_harvest,harvest,avg_age_2024,avg_age_3yr_average,avg_age_vs_objective_midpoint
2023,2024,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,High Uintas Kamas,High Uintas Kamas,,,,1.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,6/7 High Uintas Kamas 0 3 1 4 8 6 2 4 1 1,88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,6/7,,,1.0,,,
2024,2025,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,High Uintas Kamas,High Uintas Kamas,,,,1.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,6/7 High Uintas Kamas 0 3 1 4 8 6 2 4 1 1,88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,6/7,,,1.0,,,
2015,2016,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,High Uintas Leidy Peak,High Uintas Leidy Peak,,,,0.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,8/9 High Uintas Leidy Peak 0 1 0 0 0 0 0 1 0 0,88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,8/9,,,0.0,,,
2016,2017,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,High Uintas Leidy Peak,High Uintas Leidy Peak,,,,1.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,8/9 High Uintas Leidy Peak 0 1 0 0 0 0 0 1 0 0,88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,8/9,,,1.0,,,
2017,2018,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,High Uintas Leidy Peak,High Uintas Leidy Peak,,,,0.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,8/9 High Uintas Leidy Peak 0 1 0 0 0 0 0 1 0 0,88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,8/9,,,0.0,,,
2018,2019,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,High Uintas Leidy Peak,High Uintas Leidy Peak,,,,0.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,8/9 High Uintas Leidy Peak 0 1 0 0 0 0 0 1 0 0,88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,8/9,,,0.0,,,
2019,2020,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,High Uintas Leidy Peak,High Uintas Leidy Peak,,,,0.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,8/9 High Uintas Leidy Peak 0 1 0 0 0 0 0 1 0 0,88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,8/9,,,0.0,,,
2020,2021,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,High Uintas Leidy Peak,High Uintas Leidy Peak,,,,0.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,8/9 High Uintas Leidy Peak 0 1 0 0 0 0 0 1 0 0,88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,8/9,,,0.0,,,
2021,2022,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,High Uintas Leidy Peak,High Uintas Leidy Peak,,,,0.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,8/9 High Uintas Leidy Peak 0 1 0 0 0 0 0 1 0 0,88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,8/9,,,0.0,,,
2022,2023,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,High Uintas Leidy Peak,High Uintas Leidy Peak,,,,1.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,8/9 High Uintas Leidy Peak 0 1 0 0 0 0 0 1 0 0,88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,8/9,,,1.0,,,
2023,2024,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,High Uintas Leidy Peak,High Uintas Leidy Peak,,,,0.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,8/9 High Uintas Leidy Peak 0 1 0 0 0 0 0 1 0 0,88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,8/9,,,0.0,,,
2024,2025,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,High Uintas Leidy Peak,High Uintas Leidy Peak,,,,0.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,8/9 High Uintas Leidy Peak 0 1 0 0 0 0 0 1 0 0,88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,8/9,,,0.0,,,
2015,2016,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,High Uintas West,High Uintas West,,,,5.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,8/9 High Uintas West 5 6 12 3 2 3 9 5 5 2,88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,8/9,,,5.0,,,
2016,2017,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,High Uintas West,High Uintas West,,,,6.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,8/9 High Uintas West 5 6 12 3 2 3 9 5 5 2,88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,8/9,,,6.0,,,
2017,2018,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,High Uintas West,High Uintas West,,,,12.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,8/9 High Uintas West 5 6 12 3 2 3 9 5 5 2,88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,8/9,,,12.0,,,
2018,2019,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,High Uintas West,High Uintas West,,,,3.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,8/9 High Uintas West 5 6 12 3 2 3 9 5 5 2,88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,8/9,,,3.0,,,
2019,2020,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,High Uintas West,High Uintas West,,,,2.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,8/9 High Uintas West 5 6 12 3 2 3 9 5 5 2,88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,8/9,,,2.0,,,
2020,2021,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,High Uintas West,High Uintas West,,,,3.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,8/9 High Uintas West 5 6 12 3 2 3 9 5 5 2,88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,8/9,,,3.0,,,
2021,2022,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,High Uintas West,High Uintas West,,,,9.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,8/9 High Uintas West 5 6 12 3 2 3 9 5 5 2,88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,8/9,,,9.0,,,
2022,2023,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,High Uintas West,High Uintas West,,,,5.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,8/9 High Uintas West 5 6 12 3 2 3 9 5 5 2,88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,8/9,,,5.0,,,
2023,2024,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,High Uintas West,High Uintas West,,,,5.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,8/9 High Uintas West 5 6 12 3 2 3 9 5 5 2,88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,8/9,,,5.0,,,
2024,2025,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,High Uintas West,High Uintas West,,,,2.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,8/9 High Uintas West 5 6 12 3 2 3 9 5 5 2,88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,8/9,,,2.0,,,
2015,2016,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,"La Sal, La Sal Mtns","La Sal, La Sal Mtns",,,,,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,"13 La Sal, La Sal Mtns — — — 0 0 2 2 2 3 2",88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,13,,,,,,
2016,2017,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,"La Sal, La Sal Mtns","La Sal, La Sal Mtns",,,,,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,"13 La Sal, La Sal Mtns — — — 0 0 2 2 2 3 2",88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,13,,,,,,
2017,2018,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,"La Sal, La Sal Mtns","La Sal, La Sal Mtns",,,,,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,"13 La Sal, La Sal Mtns — — — 0 0 2 2 2 3 2",88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,13,,,,,,
2018,2019,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,"La Sal, La Sal Mtns","La Sal, La Sal Mtns",,,,0.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,"13 La Sal, La Sal Mtns — — — 0 0 2 2 2 3 2",88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,13,,,0.0,,,
2019,2020,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,"La Sal, La Sal Mtns","La Sal, La Sal Mtns",,,,0.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,"13 La Sal, La Sal Mtns — — — 0 0 2 2 2 3 2",88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,13,,,0.0,,,
2020,2021,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,"La Sal, La Sal Mtns","La Sal, La Sal Mtns",,,,2.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,"13 La Sal, La Sal Mtns — — — 0 0 2 2 2 3 2",88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,13,,,2.0,,,
2021,2022,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,"La Sal, La Sal Mtns","La Sal, La Sal Mtns",,,,2.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,"13 La Sal, La Sal Mtns — — — 0 0 2 2 2 3 2",88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,13,,,2.0,,,
2022,2023,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,"La Sal, La Sal Mtns","La Sal, La Sal Mtns",,,,2.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,"13 La Sal, La Sal Mtns — — — 0 0 2 2 2 3 2",88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,13,,,2.0,,,
2023,2024,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,"La Sal, La Sal Mtns","La Sal, La Sal Mtns",,,,3.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,"13 La Sal, La Sal Mtns — — — 0 0 2 2 2 3 2",88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,13,,,3.0,,,
2024,2025,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,"La Sal, La Sal Mtns","La Sal, La Sal Mtns",,,,2.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,"13 La Sal, La Sal Mtns — — — 0 0 2 2 2 3 2",88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,13,,,2.0,,,
2015,2016,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,Mt Dutton,Mt Dutton,,,,,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,24 Mt Dutton — — 0 0 1 1 1 1 1 0,88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,24,,,,,,
2016,2017,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,Mt Dutton,Mt Dutton,,,,,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,24 Mt Dutton — — 0 0 1 1 1 1 1 0,88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,24,,,,,,
2017,2018,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,Mt Dutton,Mt Dutton,,,,0.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,24 Mt Dutton — — 0 0 1 1 1 1 1 0,88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,24,,,0.0,,,
2018,2019,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,Mt Dutton,Mt Dutton,,,,0.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,24 Mt Dutton — — 0 0 1 1 1 1 1 0,88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,24,,,0.0,,,
2019,2020,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,Mt Dutton,Mt Dutton,,,,1.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,24 Mt Dutton — — 0 0 1 1 1 1 1 0,88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,24,,,1.0,,,
2020,2021,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,Mt Dutton,Mt Dutton,,,,1.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,24 Mt Dutton — — 0 0 1 1 1 1 1 0,88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,24,,,1.0,,,
2021,2022,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,Mt Dutton,Mt Dutton,,,,1.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,24 Mt Dutton — — 0 0 1 1 1 1 1 0,88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,24,,,1.0,,,
2022,2023,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,Mt Dutton,Mt Dutton,,,,1.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,24 Mt Dutton — — 0 0 1 1 1 1 1 0,88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,24,,,1.0,,,
2023,2024,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,Mt Dutton,Mt Dutton,,,,1.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,24 Mt Dutton — — 0 0 1 1 1 1 1 0,88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,24,,,1.0,,,
2024,2025,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,Mt Dutton,Mt Dutton,,,,0.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,24 Mt Dutton — — 0 0 1 1 1 1 1 0,88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,24,,,0.0,,,
2015,2016,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,Nebo,Nebo,,,,0.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,16A Nebo 0 0 0 0 1 6 5 5 4 4,88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,16A,,,0.0,,,
2016,2017,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,Nebo,Nebo,,,,0.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,16A Nebo 0 0 0 0 1 6 5 5 4 4,88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,16A,,,0.0,,,
2017,2018,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,Nebo,Nebo,,,,0.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,16A Nebo 0 0 0 0 1 6 5 5 4 4,88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,16A,,,0.0,,,
2018,2019,"Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",1,Mountain Goat Extra,"Total nanny mountain goat harvest by management unit, Utah 2015-2024",Mountain Goat,,Nebo,Nebo,,,,0.0,,,,,,,,nanny_harvest,extra_oil_goat_bison_desert_sheep_supplement,16A Nebo 0 0 0 0 1 6 5 5 4 4,88d7e9efac522dd87faa59bc901670bf90b1675358693d71704718c6d8da1872,"/mnt/data/Total nanny mountain goat harvest by management unit, Utah 2015–2024..pdf",True,True,True,,,,,,,,,,,,16A,,,0.0,,,
