source_no,permit_class,source_year_range,model_target_year,species_raw,species,hunt_family,area,condition,value,organization,permit_total,source_file,allocation_cycle_years,permit_applies_each_year,permit_count_per_year,permit_year_instances_2025_2027,permit_count_2025,permit_count_2026,permit_count_2027,interpretation,year,permit_count_for_year
45,conservation,2025-2027,2026,Bear,Black Bear,Bear,"Manti-South/San Rafael, North",Multiseason,9611.11,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
46,conservation,2025-2027,2026,Bear,Black Bear,Bear,Nebo,Multiseason,5266.67,UHA,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
47,conservation,2025-2027,2026,Bear,Black Bear,Bear,Nine Mile,Multiseason,2255.56,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
48,conservation,2025-2027,2026,Bear,Black Bear,Bear,Nine Mile,Multiseason,2255.56,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
49,conservation,2025-2027,2026,Bear,Black Bear,Bear,Nine Mile,Multiseason,2255.56,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
50,conservation,2025-2027,2026,Bear,Black Bear,Bear,Nine Mile,Multiseason,2255.56,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
51,conservation,2025-2027,2026,Bear,Black Bear,Bear,Panguitch Lake/Zion,Multiseason,6166.67,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
52,conservation,2025-2027,2026,Bear,Black Bear,Bear,Paunsaugunt,Multiseason,4000.0,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
53,conservation,2025-2027,2026,Bear,Black Bear,Bear,San Juan,Multiseason,5320.83,UHA,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
54,conservation,2025-2027,2026,Bear,Black Bear,Bear,San Juan,Multiseason,5320.83,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
55,conservation,2025-2027,2026,Bear,Black Bear,Bear,San Juan,Multiseason,5320.83,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
56,conservation,2025-2027,2026,Bear,Black Bear,Bear,San Juan,Multiseason,5320.83,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
57,conservation,2025-2027,2026,Bear,Black Bear,Bear,"Wasatch Mtns, Avintaquin/Currant Creek",Multiseason,4333.33,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
58,conservation,2025-2027,2026,Bear,Black Bear,Bear,"Wasatch Mtns, Avintaquin/Currant Creek",Multiseason,4333.33,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
59,conservation,2025-2027,2026,Bear,Black Bear,Bear,"Wasatch Mtns, West-Central",Multiseason,4716.67,UAA,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
60,conservation,2025-2027,2026,Bear,Black Bear,Bear,"Wasatch Mtns, West-Central",Multiseason,4716.67,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
61,conservation,2025-2027,2026,Bear,Black Bear,Bear,"Wasatch Mtns, West-Central",Multiseason,4716.67,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
62,conservation,2025-2027,2026,Bear,Black Bear,Bear,"Wasatch Mtns, West-Central",Multiseason,4716.67,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
63,conservation,2025-2027,2026,Bear,Black Bear,Bear,Yellowstone,Multiseason,3500.0,WCF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
64,conservation,2025-2027,2026,Bear,Black Bear,Bear,Statewide,Multiseason,15666.67,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
65,conservation,2025-2027,2026,Bison,Bison,Bison,"Book Cliffs, Bitter Creek, Hunter's Choice",Any Legal Weapon,35000.0,UWSF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
66,conservation,2025-2027,2026,Bison,Bison,Bison,"Book Cliffs, Little Creek/South, Hunter's Choice",Any Legal Weapon,35000.0,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
67,conservation,2025-2027,2026,Bison,Bison,Bison,"Henry Mtns, Hunter's Choice (early)",Any Legal Weapon,68333.33,RMEF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
68,conservation,2025-2027,2026,Bison,Bison,Bison,"Henry Mtns, Cow Only (late)",Any Legal Weapon,9166.67,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
69,conservation,2025-2027,2026,Bison,Bison,Bison,"Henry Mtns, Hunter's Choice (late)",Any Legal Weapon,40333.33,SCI,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
70,conservation,2025-2027,2026,Bison,Bison,Bison,Statewide,Any Legal Weapon,121666.67,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
71,conservation,2025-2027,2026,Desert Bighorn Sheep,Desert Bighorn Sheep,Desert Bighorn Sheep,"Kaiparowits, East",Any Legal Weapon,88333.33,UWSF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
72,conservation,2025-2027,2026,Desert Bighorn Sheep,Desert Bighorn Sheep,Desert Bighorn Sheep,"Kaiparowits, Escalante",Any Legal Weapon,71666.67,UWSF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
73,conservation,2025-2027,2026,Desert Bighorn Sheep,Desert Bighorn Sheep,Desert Bighorn Sheep,"Kaiparowits, West",Any Legal Weapon,77500.0,UWSF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
74,conservation,2025-2027,2026,Desert Bighorn Sheep,Desert Bighorn Sheep,Desert Bighorn Sheep,"La Sal, Potash/South Cisco",Any Legal Weapon,60833.33,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
75,conservation,2025-2027,2026,Desert Bighorn Sheep,Desert Bighorn Sheep,Desert Bighorn Sheep,"Pine Valley, Beaver Dam",Any Legal Weapon,73214.29,UWSF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
76,conservation,2025-2027,2026,Desert Bighorn Sheep,Desert Bighorn Sheep,Desert Bighorn Sheep,"San Rafael, Dirty Devil",Any Legal Weapon,73333.33,SCI,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
77,conservation,2025-2027,2026,Desert Bighorn Sheep,Desert Bighorn Sheep,Desert Bighorn Sheep,"San Rafael, South",Any Legal Weapon,60833.33,UWSF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
78,conservation,2025-2027,2026,Desert Bighorn Sheep,Desert Bighorn Sheep,Desert Bighorn Sheep,Statewide,Any Legal Weapon,140000.0,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
79,conservation,2025-2027,2026,Deer,Deer,Deer,Henry Mtns,Hunter's Choice,104166.67,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
80,conservation,2025-2027,2026,Deer,Deer,Deer,Henry Mtns,Multiseason,114500.0,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
81,conservation,2025-2027,2026,Deer,Deer,Deer,Paunsaugunt,Archery,68333.33,NWTF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
82,conservation,2025-2027,2026,Deer,Deer,Deer,Paunsaugunt,Hunter's Choice,74666.67,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
83,conservation,2025-2027,2026,Deer,Deer,Deer,Paunsaugunt,Hunter's Choice,74666.67,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
84,conservation,2025-2027,2026,Deer,Deer,Deer,Paunsaugunt,Multiseason,82000.0,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
85,conservation,2025-2027,2026,Deer,Deer,Deer,Paunsaugunt,Multiseason,82000.0,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
86,conservation,2025-2027,2026,Deer,Deer,Deer,Paunsaugunt,Muzzleloader,40000.0,NWTF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
87,conservation,2025-2027,2026,Deer,Deer,Deer,Paunsaugunt,Muzzleloader,40000.0,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
88,conservation,2025-2027,2026,Deer,Deer,Deer,Book Cliffs,Archery,8750.0,WCF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
89,conservation,2025-2027,2026,Deer,Deer,Deer,Book Cliffs,Archery,8750.0,UAA,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
90,conservation,2025-2027,2026,Deer,Deer,Deer,Book Cliffs,Hunter's Choice,20875.0,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
91,conservation,2025-2027,2026,Deer,Deer,Deer,Book Cliffs,Hunter's Choice,20875.0,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
92,conservation,2025-2027,2026,Deer,Deer,Deer,Book Cliffs,Multiseason,23000.0,SFW,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
93,conservation,2025-2027,2026,Deer,Deer,Deer,Book Cliffs,Multiseason,23000.0,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
94,conservation,2025-2027,2026,Deer,Deer,Deer,Book Cliffs,Muzzleloader,7375.0,UHA,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
95,conservation,2025-2027,2026,Deer,Deer,Deer,Book Cliffs,Muzzleloader,7375.0,WCF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
96,conservation,2025-2027,2026,Deer,Deer,Deer,Diamond Mtn,Archery,11500.0,MDF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
97,conservation,2025-2027,2026,Deer,Deer,Deer,Diamond Mtn,Hunter's Choice,12666.67,RMEF,1.0,2025-27 Conservation Permits.xlsx,2025|2026|2027,True,1.0,3.0,1.0,1.0,1.0,"one permit per row per year for 2025, 2026, and 2027",2026,1.0
