reported_hunt_year,model_target_year,source_file,source_sha256,source_kind,source_page,source_section,hunt_code,species,unit_or_prefix,hunt_name,metric_tokens,metrics_json,raw_line,harvest_total,permits,hunters_afield,average_days,percent_success,harvest_male_or_buck_or_bull_or_ram,harvest_female_or_cow_or_doe,harvest_young,parse_confidence,parse_notes,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible,data_quality_flags
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,132,"Limited-entry archery buck pronghorn harvest, Utah 2021.",PB5058,Pronghorn,14,"San Juan, Hatch Point",0|1|1|3.0|0.0,"[0, 1, 1, 3.0, 0.0]","14 PB5058 San Juan, Hatch Point 0 1 1 3.0 0.0",0.0,1,1.0,3.0,0.0,0.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,132,"Limited-entry archery buck pronghorn harvest, Utah 2021.",PB5055,Pronghorn,12,"San Rafael, Desert",2|3|2|2.0|100.0,"[2, 3, 2, 2.0, 100.0]","12 PB5055 San Rafael, Desert 2 3 2 2.0 100.0",2.0,3,2.0,2.0,100.0,2.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,132,"Limited-entry archery buck pronghorn harvest, Utah 2021.",PB5015,Pronghorn,12,"San Rafael, North",14|23|22|8.0|63.6,"[14, 23, 22, 8.0, 63.6]","12 PB5015 San Rafael, North 14 23 22 8.0 63.6",14.0,23,22.0,8.0,63.6,14.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,132,"Limited-entry archery buck pronghorn harvest, Utah 2021.",PB5016,Pronghorn,9,"South Slope, Bonanza/Diamond Mtn",12|12|12|3.1|100.0,"[12, 12, 12, 3.1, 100.0]","9 PB5016 South Slope, Bonanza/Diamond Mtn 12 12 12 3.1 100.0",12.0,12,12.0,3.1,100.0,12.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,132,"Limited-entry archery buck pronghorn harvest, Utah 2021.",PB5017,Pronghorn,9,"South Slope, Vernal",8|11|11|3.9|72.7,"[8, 11, 11, 3.9, 72.7]","9 PB5017 South Slope, Vernal 8 11 11 3.9 72.7",8.0,11,11.0,3.9,72.7,8.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,132,"Limited-entry archery buck pronghorn harvest, Utah 2021.",PB5018,Pronghorn,20,Southwest Desert,16|31|31|8.6|52.0,"[16, 31, 31, 8.6, 52.0]",20 PB5018 Southwest Desert 16 31 31 8.6 52.0,16.0,31,31.0,8.6,52.0,16.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,132,"Limited-entry archery buck pronghorn harvest, Utah 2021.",PB5019,Pronghorn,19,"West Desert, Riverbed",8|9|9|5.6|87.5,"[8, 9, 9, 5.6, 87.5]","19 PB5019 West Desert, Riverbed 8 9 9 5.6 87.5",8.0,9,9.0,5.6,87.5,8.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,132,"Limited-entry archery buck pronghorn harvest, Utah 2021.",PB5020,Pronghorn,19,"West Desert, Rush Valley",6|6|6|7.8|100.0,"[6, 6, 6, 7.8, 100.0]","19 PB5020 West Desert, Rush Valley 6 6 6 7.8 100.0",6.0,6,6.0,7.8,100.0,6.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,132,"Limited-entry archery buck pronghorn harvest, Utah 2021.",PB5021,Pronghorn,19,"West Desert, Snake Valley",6|10|9|5.3|66.7,"[6, 10, 9, 5.3, 66.7]","19 PB5021 West Desert, Snake Valley 6 10 9 5.3 66.7",6.0,10,9.0,5.3,66.7,6.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,133,"Limited-entry muzzleloader buck pronghorn harvest, Utah 2021.",PB5022,Pronghorn,2/3/4,Cache/Morgan-South Rich/Ogden,7|11|8|2.7|83.3,"[7, 11, 8, 2.7, 83.3]",2/3/4 PB5022 Cache/Morgan-South Rich/Ogden 7 11 8 2.7 83.3,7.0,11,8.0,2.7,83.3,7.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,133,"Limited-entry muzzleloader buck pronghorn harvest, Utah 2021.",PB5065,Pronghorn,21,"Fillmore, Oak Creek South",6|9|8|1.8|75.0,"[6, 9, 8, 1.8, 75.0]","21 PB5065 Fillmore, Oak Creek South 6 9 8 1.8 75.0",6.0,9,8.0,1.8,75.0,6.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,133,"Limited-entry muzzleloader buck pronghorn harvest, Utah 2021.",PB5059,Pronghorn,11,"Nine Mile, Anthro-Myton Bench",18|18|18|1.4|100.0,"[18, 18, 18, 1.4, 100.0]","11 PB5059 Nine Mile, Anthro-Myton Bench 18 18 18 1.4 100.0",18.0,18,18.0,1.4,100.0,18.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,133,"Limited-entry muzzleloader buck pronghorn harvest, Utah 2021.",PB5066,Pronghorn,8,"North Slope, Three Corners/West Daggett",7|8|8|3.4|87.5,"[7, 8, 8, 3.4, 87.5]","8 PB5066 North Slope, Three Corners/West Daggett 7 8 8 3.4 87.5",7.0,8,8.0,3.4,87.5,7.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,133,"Limited-entry muzzleloader buck pronghorn harvest, Utah 2021.",PB5061,Pronghorn,28/29,"Panguitch Lake/Zion, North",7|7|7|1.9|100.0,"[7, 7, 7, 1.9, 100.0]","28/29 PB5061 Panguitch Lake/Zion, North 7 7 7 1.9 100.0",7.0,7,7.0,1.9,100.0,7.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,133,"Limited-entry muzzleloader buck pronghorn harvest, Utah 2021.",PB5062,Pronghorn,30,Pine Valley,6|9|9|3.8|66.7,"[6, 9, 9, 3.8, 66.7]",30 PB5062 Pine Valley 6 9 9 3.8 66.7,6.0,9,9.0,3.8,66.7,6.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,133,"Limited-entry muzzleloader buck pronghorn harvest, Utah 2021.",PB5067,Pronghorn,25,"Plateau, Highlands",2|6|6|2.3|33.3,"[2, 6, 6, 2.3, 33.3]","25 PB5067 Plateau, Highlands 2 6 6 2.3 33.3",2.0,6,6.0,2.3,33.3,2.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,133,"Limited-entry muzzleloader buck pronghorn harvest, Utah 2021.",PB5056,Pronghorn,12,"San Rafael, North",22|23|23|3.2|95.7,"[22, 23, 23, 3.2, 95.7]","12 PB5056 San Rafael, North 22 23 23 3.2 95.7",22.0,23,23.0,3.2,95.7,22.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,133,"Limited-entry muzzleloader buck pronghorn harvest, Utah 2021.",PB5060,Pronghorn,9,"South Slope, Bonanza/Diamond Mtn",11|12|12|2.0|91.7,"[11, 12, 12, 2.0, 91.7]","9 PB5060 South Slope, Bonanza/Diamond Mtn 11 12 12 2.0 91.7",11.0,12,12.0,2.0,91.7,11.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,133,"Limited-entry muzzleloader buck pronghorn harvest, Utah 2021.",PB5024,Pronghorn,20,Southwest Desert,23|31|29|3.4|78.6,"[23, 31, 29, 3.4, 78.6]",20 PB5024 Southwest Desert 23 31 29 3.4 78.6,23.0,31,29.0,3.4,78.6,23.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,134,"Limited-entry any weapon buck pronghorn harvest, Utah 2021.",PB5025,Pronghorn,22,Beaver,27|28|28|1.9|96.4,"[27, 28, 28, 1.9, 96.4]",22 PB5025 Beaver 27 28 28 1.9 96.4,27.0,28,28.0,1.9,96.4,27.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,134,"Limited-entry any weapon buck pronghorn harvest, Utah 2021.",PB5026,Pronghorn,10,"Book Cliffs, Bitter Creek",29|30|29|1.6|100.0,"[29, 30, 29, 1.6, 100.0]","10 PB5026 Book Cliffs, Bitter Creek 29 30 29 1.6 100.0",29.0,30,29.0,1.6,100.0,29.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,134,"Limited-entry any weapon buck pronghorn harvest, Utah 2021.",PB5027,Pronghorn,10,"Book Cliffs, South",17|24|23|2.5|73.9,"[17, 24, 23, 2.5, 73.9]","10 PB5027 Book Cliffs, South 17 24 23 2.5 73.9",17.0,24,23.0,2.5,73.9,17.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,134,"Limited-entry any weapon buck pronghorn harvest, Utah 2021.",PB5028,Pronghorn,1,"Box Elder, Promontory",11|14|14|2.9|78.6,"[11, 14, 14, 2.9, 78.6]","1 PB5028 Box Elder, Promontory 11 14 14 2.9 78.6",11.0,14,14.0,2.9,78.6,11.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,134,"Limited-entry any weapon buck pronghorn harvest, Utah 2021.",PB5029,Pronghorn,1,"Box Elder, Puddle Valley",18|23|23|2.0|78.3,"[18, 23, 23, 2.0, 78.3]","1 PB5029 Box Elder, Puddle Valley 18 23 23 2.0 78.3",18.0,23,23.0,2.0,78.3,18.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,134,"Limited-entry any weapon buck pronghorn harvest, Utah 2021.",PB5030,Pronghorn,1,"Box Elder, Snowville",28|31|30|2.0|92.9,"[28, 31, 30, 2.0, 92.9]","1 PB5030 Box Elder, Snowville 28 31 30 2.0 92.9",28.0,31,30.0,2.0,92.9,28.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,134,"Limited-entry any weapon buck pronghorn harvest, Utah 2021.",PB5031,Pronghorn,1,"Box Elder, West",23|30|28|2.1|80.8,"[23, 30, 28, 2.1, 80.8]","1 PB5031 Box Elder, West 23 30 28 2.1 80.8",23.0,30,28.0,2.1,80.8,23.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,134,"Limited-entry any weapon buck pronghorn harvest, Utah 2021.",PB5032,Pronghorn,2/3/4,Cache/Morgan-South Rich/Ogden,24|34|34|2.4|71.9,"[24, 34, 34, 2.4, 71.9]",2/3/4 PB5032 Cache/Morgan-South Rich/Ogden 24 34 34 2.4 71.9,24.0,34,34.0,2.4,71.9,24.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,134,"Limited-entry any weapon buck pronghorn harvest, Utah 2021.",PB5033,Pronghorn,21,"Fillmore, Oak Creek South",26|27|26|1.7|100.0,"[26, 27, 26, 1.7, 100.0]","21 PB5033 Fillmore, Oak Creek South 26 27 26 1.7 100.0",26.0,27,26.0,1.7,100.0,26.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,134,"Limited-entry any weapon buck pronghorn harvest, Utah 2021.",PB5034,Pronghorn,26,Kaiparowits,2|2|2|1.5|100.0,"[2, 2, 2, 1.5, 100.0]",26 PB5034 Kaiparowits 2 2 2 1.5 100.0,2.0,2,2.0,1.5,100.0,2.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,134,"Limited-entry any weapon buck pronghorn harvest, Utah 2021.",PB5035,Pronghorn,13,"La Sal, Potash/South Cisco",12|16|14|1.4|85.7,"[12, 16, 14, 1.4, 85.7]","13 PB5035 La Sal, Potash/South Cisco 12 16 14 1.4 85.7",12.0,16,14.0,1.4,85.7,12.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,134,"Limited-entry any weapon buck pronghorn harvest, Utah 2021.",PB5331,Pronghorn,24/27,Mt Dutton/Paunsaugunt,33|39|39|2.2|84.6,"[33, 39, 39, 2.2, 84.6]",24/27 PB5331 Mt Dutton/Paunsaugunt 33 39 39 2.2 84.6,33.0,39,39.0,2.2,84.6,33.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,134,"Limited-entry any weapon buck pronghorn harvest, Utah 2021.",PB5037,Pronghorn,11,"Nine Mile, Anthro-Myton Bench",55|56|56|1.5|98.2,"[55, 56, 56, 1.5, 98.2]","11 PB5037 Nine Mile, Anthro-Myton Bench 55 56 56 1.5 98.2",55.0,56,56.0,1.5,98.2,55.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,134,"Limited-entry any weapon buck pronghorn harvest, Utah 2021.",PB5038,Pronghorn,11,"Nine Mile, Range Creek",10|11|10|2.0|100.0,"[10, 11, 10, 2.0, 100.0]","11 PB5038 Nine Mile, Range Creek 10 11 10 2.0 100.0",10.0,11,10.0,2.0,100.0,10.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,134,"Limited-entry any weapon buck pronghorn harvest, Utah 2021.",PB5039,Pronghorn,8,"North Slope, Summit",7|10|9|2.5|75.0,"[7, 10, 9, 2.5, 75.0]","8 PB5039 North Slope, Summit 7 10 9 2.5 75.0",7.0,10,9.0,2.5,75.0,7.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,134,"Limited-entry any weapon buck pronghorn harvest, Utah 2021.",PB5040,Pronghorn,8,"North Slope, Three Corners/West Daggett",20|24|23|2.1|87.0,"[20, 24, 23, 2.1, 87.0]","8 PB5040 North Slope, Three Corners/West Daggett 20 24 23 2.1 87.0",20.0,24,23.0,2.1,87.0,20.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,134,"Limited-entry any weapon buck pronghorn harvest, Utah 2021.",PB5041,Pronghorn,28/29,"Panguitch Lake/Zion, North",21|21|21|1.5|100.0,"[21, 21, 21, 1.5, 100.0]","28/29 PB5041 Panguitch Lake/Zion, North 21 21 21 1.5 100.0",21.0,21,21.0,1.5,100.0,21.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,134,"Limited-entry any weapon buck pronghorn harvest, Utah 2021.",PB5042,Pronghorn,30,Pine Valley,28|30|30|2.2|93.1,"[28, 30, 30, 2.2, 93.1]",30 PB5042 Pine Valley 28 30 30 2.2 93.1,28.0,30,30.0,2.2,93.1,28.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,134,"Limited-entry any weapon buck pronghorn harvest, Utah 2021.",PB5063,Pronghorn,25,"Plateau, Highlands",16|19|19|2.5|83.3,"[16, 19, 19, 2.5, 83.3]","25 PB5063 Plateau, Highlands 16 19 19 2.5 83.3",16.0,19,19.0,2.5,83.3,16.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,134,"Limited-entry any weapon buck pronghorn harvest, Utah 2021.",PB5044,Pronghorn,14,"San Juan, Hatch Point",3|4|4|2.0|66.7,"[3, 4, 4, 2.0, 66.7]","14 PB5044 San Juan, Hatch Point 3 4 4 2.0 66.7",3.0,4,4.0,2.0,66.7,3.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,134,"Limited-entry any weapon buck pronghorn harvest, Utah 2021.",PB5045,Pronghorn,12,"San Rafael, Desert",13|13|13|1.7|100.0,"[13, 13, 13, 1.7, 100.0]","12 PB5045 San Rafael, Desert 13 13 13 1.7 100.0",13.0,13,13.0,1.7,100.0,13.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,134,"Limited-entry any weapon buck pronghorn harvest, Utah 2021.",PB5046,Pronghorn,12,"San Rafael, North",65|71|70|2.3|92.8,"[65, 71, 70, 2.3, 92.8]","12 PB5046 San Rafael, North 65 71 70 2.3 92.8",65.0,71,70.0,2.3,92.8,65.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,134,"Limited-entry any weapon buck pronghorn harvest, Utah 2021.",PB5047,Pronghorn,9,"South Slope, Bonanza/Diamond Mtn",37|38|38|1.5|97.4,"[37, 38, 38, 1.5, 97.4]","9 PB5047 South Slope, Bonanza/Diamond Mtn 37 38 38 1.5 97.4",37.0,38,38.0,1.5,97.4,37.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,134,"Limited-entry any weapon buck pronghorn harvest, Utah 2021.",PB5048,Pronghorn,9,"South Slope, Vernal",46|47|46|1.4|100.0,"[46, 47, 46, 1.4, 100.0]","9 PB5048 South Slope, Vernal 46 47 46 1.4 100.0",46.0,47,46.0,1.4,100.0,46.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,134,"Limited-entry any weapon buck pronghorn harvest, Utah 2021.",PB5049,Pronghorn,20,Southwest Desert,78|98|94|2.4|83.0,"[78, 98, 94, 2.4, 83.0]",20 PB5049 Southwest Desert 78 98 94 2.4 83.0,78.0,98,94.0,2.4,83.0,78.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,134,"Limited-entry any weapon buck pronghorn harvest, Utah 2021.",PB5050,Pronghorn,19,"West Desert, Riverbed",37|38|37|1.8|100.0,"[37, 38, 37, 1.8, 100.0]","19 PB5050 West Desert, Riverbed 37 38 37 1.8 100.0",37.0,38,37.0,1.8,100.0,37.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,134,"Limited-entry any weapon buck pronghorn harvest, Utah 2021.",PB5051,Pronghorn,19,"West Desert, Rush Valley",19|23|22|3.2|85.7,"[19, 23, 22, 3.2, 85.7]","19 PB5051 West Desert, Rush Valley 19 23 22 3.2 85.7",19.0,23,22.0,3.2,85.7,19.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,134,"Limited-entry any weapon buck pronghorn harvest, Utah 2021.",PB5052,Pronghorn,19,"West Desert, Snake Valley",36|46|45|2.6|79.5,"[36, 46, 45, 2.6, 79.5]","19 PB5052 West Desert, Snake Valley 36 46 45 2.6 79.5",36.0,46,45.0,2.6,79.5,36.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
